Company Name	Position Title	Position Type	Location	Company Stage	Monthly Salary	Monthly Stock/ Stipend	Annualized Base Salary	Stock/ Stipend per Year	Signing Bonus	Additional Benefits	Did You Negotiate the Offer?	Did You Accept the Offer?	Time Frame From First Interview Invitation to Offer in Weeks	Sex	Degree Level	Last Year of College	Last School Attended	Major	Additional Information	Intern Conversion	Base Salary	Base Salary Rate	Housing Stipend	Stock Bonuses/Benefits	Stock in currency or number of units	Stock Vesting Schedule Details	Annualized Recurring Renumeration (inc. stock and stipend)	Recurring Renumeration per Month (inc. stock and stipend)	Total First Year Annualized Renumeration(including Signon & Relocation)	Timestamp
Big 4	Engineering Intern	Intern	Not decided	Public	5000	0	60000	0	8000	"Free lunch breakfast dinner, gym, etc"	No	Yes		Male	Bachelors	Sophomore	Northwest US Public College	CS			5000	Per month					"$60,000 "	"$5,000 "	"$68,000 "	11/30/2016 10:59
Quantitative Trading Firm	Software Dev	Full Time	Midwest	Private	9583.333333	0	115000	0		20% target bonus 	No	Still considering		Male	Bachelors	Senior	Illinois	Computer Science			115000	Per year					"$115,000 "	"$9,583 "	"$115,000 "	11/30/2016 11:00
Goldman Sachs	Analyst	Full Time	"NY, NY"	Public	7083.333333	0	85000	0	10000		No	No	4	Male	Bachelors	Senior		Computer Science	Equities tech		85000	Per year		35000			"$85,000 "	"$7,083 "	"$95,000 "	11/30/2016 11:00
Capital One	Security Engineer	Full Time	Washington 	Public	7833.333333	0	94000	0	10		No	Yes		Male	Bachelors	Senior	Midwest State College	Computer science 			94000	Per year					"$94,000 "	"$7,833 "	"$94,010 "	11/30/2016 11:00
Microsoft	Software Engineer Intern	Intern	"Redmond, Washington"	Public	7800	4000	93600	48000	5000	"Transportation stipend, relocation stipend, Bus Pass, Gym Membership, Medical Plan, Software Discounts, Flights, Intern Gift"	No	No		Male	Bachelors	Junior	SUNY	Computer Science and Mathematics			45	Per hour	4000				"$141,600 "	"$11,800 "	"$146,600 "	11/30/2016 11:01
Twitter	Engineering Intern	Intern	San Francisco	Public	6586.666667	2000	79040	24000		"Free breakfast, lunch and dinner"	No	Yes	4	Male	Bachelors	Freshman	Not a good CS school	Computer Science			38	Per hour	2000				"$103,040 "	"$8,587 "	"$103,040 "	11/30/2016 11:01
Bloomberg	Software Engineer Intern	Intern	"NYC, NY"	Private	7800	5100	93600	61200		"Transportation stipend, free access to all NYC museums"	Yes	Still considering	3	Male	Bachelors	Junior	Binghamton University	Computer Science and Mathematics			45	Per hour	5100				"$154,800 "	"$12,900 "	"$154,800 "	11/30/2016 11:03
Yahoo	Software Engineer - Associate 	Full Time	San Francisco	Public	8750	0	105000	0	0	"Free lunch, gym and public transportation stipend, 401 k matching, health and dental insurance etc"	Yes	Still considering	4	Male	Bachelors	Senior	Midwest liberal arts college	Computer Science	Returning intern		105000	Per year		20000		4 years 	"$105,000 "	"$8,750 "	"$105,000 "	11/30/2016 11:03
Amazon	SDE	Full Time	"Seattle, WA"	Public	8750	0	105000	0	26000	"moving stipend: 10,000, 26,000 after second year if still employed "	No	Yes	0	Male	Bachelors	Senior	Small east coast private school	Computer Science	internship -> fulltime conversion hence interview length was 0		105000	Per year		65000		"65,000 over 4 years backloaded "	"$105,000 "	"$8,750 "	"$131,000 "	11/30/2016 11:04
Visa	Software Engineering Intern	Intern	California	Public	5026.666667	1333	60320	15996			No	Yes		Female	Bachelors		midwest state college	cs	"in person coding challenge, interview, hacker rank challenge; 12 weeks"		29	Per hour	1333				"$76,316 "	"$6,360 "	"$76,316 "	11/30/2016 11:04
Microsoft	Software Engineering Intern	Intern	"Redmond, WA"	Public	7100	4000	85200	48000	5000			No		Female	Bachelors	Junior	Midwest State College	Computer Science	Return Offer		7100	Per month	4000				"$133,200 "	"$11,100 "	"$138,200 "	11/30/2016 11:06
Salesforce	Software Engineering Intern	Intern	"San Francisco, CA"	Public	7800	0	93600	0		"500 for moving expenses, $100 per month for wellness (free massages, gym, yoga), 401k for up to $4000 for the summer, free housing in downtown SF"	No	Yes	4	Female	Bachelors	Junior	University of Wisconsin-Madison	Computer Science	Received interview at Grace Hopper		45	Per hour					"$93,600 "	"$7,800 "	"$93,600 "	11/30/2016 11:08
Bloomberg	Software Dev	Full Time	NYC	Public	10833.33333	0	130000	0	10000	yearly bonus of 10k	No	Yes		Male	Masters	Graduate	State school	Computer Science			130000	Per year					"$130,000 "	"$10,833 "	"$140,000 "	11/30/2016 11:10
JP Morgan	Summer Technology Analyst	Intern	"Chicago, IL"	Public	6066.666667	0	72800	0	1500		No	Yes	8	Male	Bachelors	Sophomore	University of Pittsburgh	Computer Science	10 week internship		35	Per hour	0	0		0	"$72,800 "	"$6,067 "	"$74,300 "	11/30/2016 11:13
Facebook	Software Engineering Intern	Intern	"Menlo Park, CA, USA"	Public	8000	0	96000	0			Prefer not to disclose	Yes	4	Male	Bachelors	Junior	Canadian university	computer science			8000	Per month					"$96,000 "	"$8,000 "	"$96,000 "	11/30/2016 11:14
MathWorks	Software Engineer Intern	Intern	"Natick, MA (Boston suburbs)"	Public	5200	0	62400	0	1250	0	No	No	6	Male	Bachelors	Sophomore	University of Pittsburgh	Computer Science	12 weeks		30	Per hour	0	0		0	"$62,400 "	"$5,200 "	"$63,650 "	11/30/2016 11:15
Microsoft	Software Engineer	Full Time	Redmond	Public	9583.333333	0	115000	0	25000		Yes	Still considering		Male	Bachelors	Senior	Ohio State	Computer science			115000	Per year		130000		"3.5 years, vesting 1/4 at 6 mo, 18 mo, 30 mo, 42 mo."	"$115,000 "	"$9,583 "	"$140,000 "	11/30/2016 11:16
BNY Mellon	Summer Technology Analyst	Intern	"Pittsburgh, PA"	Public	5200	0	62400	0	0	0	No	No	4	Male	Bachelors	Sophomore	University of Pittsburgh	Computer Science	10 weeks		30	Per hour	0	0		0	"$62,400 "	"$5,200 "	"$62,400 "	11/30/2016 11:16
Facebook	Software Engineering Intern	Intern	"Menlo Park, CA"	Public	8000	0	96000	0			No	Yes	1	Male	Bachelors	Junior	Waterloo	Computer Engineering	"interview scheduled on friday, offer by the next thursday"		8000	Per month					"$96,000 "	"$8,000 "	"$96,000 "	11/30/2016 11:17
Microsoft	Software Engineer	Full Time	"Redmond, WA"	Public	8916.666667	0	107000	0	35000		Yes	Yes	12	Male	Bachelors	Graduate	Top California School	Computer Science			107000	Per year		60000		3.5 years	"$107,000 "	"$8,917 "	"$142,000 "	11/30/2016 11:17
Capital One	Technology Development Program Software Engineer	Full Time	SF	Public	8833.333333	0	106000	0	10000	1500 relocation	No		3	Prefer Not to Disclose	Bachelors	Graduate	All we do is win	CS			106000	Per year					"$106,000 "	"$8,833 "	"$116,000 "	11/30/2016 11:19
Uber	Software Engineer	Intern	SF	Series D+	7000	1000	84000	12000			No	Yes		Male	Bachelors	Sophomore	UIUC	CS			7000	Per month	1000				"$96,000 "	"$8,000 "	"$96,000 "	11/30/2016 11:21
Microsoft	Software Engineering Intern	Intern	"Seattle, WA"	Public	7200	1333.33	86400	15999.96		"Relocation (flight + $300), rental car, gym"	No	Yes	6	Male	Bachelors	Junior	The University of Texas at Austin	Computer Science			7200	Per month	1333.33				"$102,400 "	"$8,533 "	"$102,400 "	11/30/2016 11:22
Epic	Technical Services	Full Time	"Madison, WI"	Public	5833.333333	0	70000	0			Yes	Still considering	3	Prefer Not to Disclose	Bachelors	Senior					70000	Per year					"$70,000 "	"$5,833 "	"$70,000 "	11/30/2016 11:27
Zillow	Software Engineering Intern 	Intern	Seattle 	Public	7000	3000	84000	36000			No	Yes	6	Male	Bachelors	Sophomore		Computer science 			7000	Per month	3000				"$120,000 "	"$10,000 "	"$120,000 "	11/30/2016 11:28
Citrix		Full Time	Fort Lauderdale	Public	5833.333333	0	70000	0	10000	Free house and car	No	Yes	2	Prefer Not to Disclose	Bachelors	Super Senior	State School	Computer Science & Engineering	This position funnels into technical consulting (post sales) or sales engineering (presales)		70000	Per year				bonus received after 8 month training	"$70,000 "	"$5,833 "	"$80,000 "	11/30/2016 11:29
Facebook	Software engineer	Intern	Menlo park	Public	8000	1000	96000	12000		Corporate housing	No	Yes	4	Male	Bachelors	Junior	Carnegie Mellon				8000	Per month	1000				"$108,000 "	"$9,000 "	"$108,000 "	11/30/2016 11:31
Factual	Sales Engineer	Full Time	"Los Angeles, California"	Series B	6666.666667	0	80000	0	10000	"Unlimited vacation, free lunches (catered on Friday), free workout classes"	Yes	Yes	4	Female	Bachelors	Senior	University of Virginia	Computer Science and Marketing			80000	Per year					"$80,000 "	"$6,667 "	"$90,000 "	11/30/2016 11:32
Facebook	Software Engineering Intern	Intern	Menlo Park	Public	8000	3000	96000	36000	3000	"free food, housing completely covered, free gym, "	No	Yes	4	Male	Bachelors	Senior	Top Canadian School (not-Waterloo)	Computer Science			8000	Per month	3000	0			"$132,000 "	"$11,000 "	"$135,000 "	11/30/2016 11:32
Microsoft	SDE I	Full Time	Redmond	Public	8916.666667	0	107000	0	15000		Yes	Yes	4	Male	Bachelors	Senior	UT/UIUC/GT/UW/UM tier school	Computer Science			107000	Per year		120000		25% every 12 months starting at 6 months	"$107,000 "	"$8,917 "	"$122,000 "	11/30/2016 11:33
Discover Financial Services		Intern	"Chicago, IL"	Public	3466.666667	0	41600	0		Housing	No	Yes	3	Male	Bachelors	Sophomore	Midwest private school	Computer Science			20	Per hour					"$41,600 "	"$3,467 "	"$41,600 "	11/30/2016 11:33
Yext	Software Engineering Intern	Intern	"McLean, VA"	Series D+	6500	0	78000	0	2500	"Gym membership, free meals/snacks"	No	Yes	3	Male	Bachelors	Junior	East Coast State School	"Computer Science, BS"			1500	Per week					"$78,000 "	"$6,500 "	"$80,500 "	11/30/2016 11:35
Capital One	Data Engineer	Intern	DC	Public	5000	2000	60000	24000		"Catered lunches, gym access"	No	Yes	2	Male	Bachelors	Junior	Top 10 School 	Computer Science			5000	Per month	2000				"$84,000 "	"$7,000 "	"$84,000 "	11/30/2016 11:36
PayPal	Software engineer intern	Intern	Timonium	Public	5373.333333	0	64480	0		Corporate housing providsd	No	No	3	Male	Bachelors	Junior	UMD	Computer science 			31	Per hour					"$64,480 "	"$5,373 "	"$64,480 "	11/30/2016 11:40
Goldman Sachs	Strategist	Full Time	"New York, New York"	Public	7083.333333	0	85000	0	10000		No	No	10	Female	Bachelors	Senior	University of Virginia	Computer Science and Marketing	Previously interned		85000	Per year					"$85,000 "	"$7,083 "	"$95,000 "	11/30/2016 11:40
Blackrock	Analyst SE	Full Time	CA	Public	7500	0	90000	0	10000			No		Prefer Not to Disclose	Masters						90000	Per year					"$90,000 "	"$7,500 "	"$100,000 "	11/30/2016 11:41
MongoDB	Software engineer	Intern	Nyc	Series D+	6933.333333	2233	83200	26796		Housing or stipend 	No	Yes	2	Male	Bachelors	Junior	UMD	Computer science 			40	Per hour	2233				"$109,996 "	"$9,166 "	"$109,996 "	11/30/2016 11:41
LinkedIn 	Software engineer intern 	Intern	San Francisco 	Series D+	7200	0	86400	0		"Housing, lunch, breakfast, transportation "	No	Yes	2	Female	Bachelors	Junior	UCLA 	Design			7200	Per month					"$86,400 "	"$7,200 "	"$86,400 "	11/30/2016 11:42
Bridgewater Associates		Full Time	CT	Private	9583.333333	0	115000	0	30000		No	Yes	3	Male	Bachelors	Senior					115000	Per year					"$115,000 "	"$9,583 "	"$145,000 "	11/30/2016 11:42
Apple	Hardware Engineer	Full Time	"Cupertino, CA"	Public	8840	0	106080	0	10		Prefer not to disclose	Still considering		Male	Bachelors	Senior					51	Per hour		40		4 years w/ 1 year cliff	"$106,080 "	"$8,840 "	"$106,090 "	11/30/2016 11:43
Morgan Stanley	Software Engineering Intern	Intern	"Mumbai, Maharashtra, India"	Public	450	0	5400	0			No	Yes		Male	Bachelors	Super Senior					450	Per month					"$5,400 "	$450 	"$5,400 "	11/30/2016 11:43
Amazon	SDE intern	Intern	US	Public	8150	2500	97800	30000	0	Relocation fee	No	Yes	1	Male	Bachelors	Senior	UIUC	CS			8150	Per month	2500				"$127,800 "	"$10,650 "	"$127,800 "	11/30/2016 11:44
IBM Research	Research Summer Intern	Intern	"San Jose, California"	Public	4246.666667	3200	50960	38400	3125		No	No	4	Male	Bachelors	Freshman	Penn State University	Computer Science			24.5	Per hour	3200				"$89,360 "	"$7,447 "	"$92,485 "	11/30/2016 11:44
Bridgewater Associates	Technology Associate	Full Time	CT	Private	9583.333333	0	115000	0	30000		No		3	Male	Bachelors	Senior					115000	Per year		35000			"$115,000 "	"$9,583 "	"$145,000 "	11/30/2016 11:45
Google	Software Engineering Resident	Full Time	NYC	Public	7800	3500	93600	42000			No	Yes	3	Male	Bachelors	Senior		Computer Science	Google Engineering Residency		45	Per hour	3500				"$135,600 "	"$11,300 "	"$135,600 "	11/30/2016 11:47
Expensify	Full Stack Developer	Full Time	Bay Area	Series C	11250	0	135000	0		"Expense lunches for free, Full Health+Dental+Vision, Travel abroad with company for a month every year"	No	No	2	Male	Bachelors	Senior		CS			135000	Per year				4 years vesting schedule with 1 year cliff	"$135,000 "	"$11,250 "	"$135,000 "	11/30/2016 11:48
Bridgewater Associates	Technology Associate	Full Time	CT	Private	9583.333333	0	115000	0	30000	Free lunch and gym membership	No	No	3	Male	Bachelors	Senior		Computer Science	"Yearly bonus above varies from $0-70000 based on performance, with $35,000 meaning you meet expectations"		115000	Per year		35000			"$115,000 "	"$9,583 "	"$145,000 "	11/30/2016 11:49
Microsoft	Software Engineer	Full Time	Bellevue	Public	8916.666667	5000	107000	60000	30000	"gym membership, free public transport"	Yes	No		Male	Bachelors	Senior		Computer Science	This was a return offer from summer internship		107000	Per year	5000	120000		3.5 years	"$167,000 "	"$13,917 "	"$197,000 "	11/30/2016 11:51
Google	Software Engineer	Full Time	Mountain View	Public	9166.666667	0	110000	0	25000	Typical google benefits	No	Still considering	6	Male	Bachelors	Senior	Purdue	CS			110000	Per year		100000		4 year vesting	"$110,000 "	"$9,167 "	"$135,000 "	11/30/2016 11:52
Amazon	SDE	Full Time	Seattle 	Public	8750	1354.166667	105000	16250	52000	10000 relocation 	No	Yes		Male	Bachelors	Senior	UCLA	CS			105000	Per year		65000	USD	4 years backloaded 	"$121,250 "	"$10,104 "	"$173,250 "	11/30/2016 11:53
Epic	Software Developer	Full Time	"Madison, WI"	Private	7916.666667	0	95000	0	10000		No	Yes	6	Male	Bachelors	Senior		Software Engineering Technology			95000	Per year		0	Number of Units		"$95,000 "	"$7,917 "	"$105,000 "	11/30/2016 11:54
Addepar		Intern	Bay Area	Series C	8200	0	98400	0			No	Yes		Prefer Not to Disclose	Bachelors	Junior					8200	Per month		0	USD		"$98,400 "	"$8,200 "	"$98,400 "	11/30/2016 11:55
McKesson	Software Engineer	Full Time	"Atlanta, GA"	Public	6208.333333	0	74500	0	0		Yes	Yes	1.5	Male	Bachelors	Graduate	Penn State	Computer Science	"Negotiated, accepted counter offer"		74500	Per year	0	0	USD		"$74,500 "	"$6,208 "	"$74,500 "	11/30/2016 11:56
Microsoft	Software Engineer	Full Time	"Redmond, Washington"	Public	8916.666667	1250	107000	15000	30000		Yes	Yes		Male	Bachelors	Senior	University of Maryland	Computer Science			107000	Per year		60000	USD	3 years	"$122,000 "	"$10,167 "	"$152,000 "	11/30/2016 11:56
Google	Software Engineering Intern	Intern	TBD (Have not yet been matched with a host)	Public	6716.666667	3000	80600	36000		"Free Google Food, Fitness Centers, On-site Massage, Grow, Googlers to Googlers, Employee Discounts (software, hardware, travel, and more), Counseling Services"	No	Yes	5	Male	Bachelors	Junior	"Top 25 College, as ranked by Forbes (non-CS target school & no engineering program)"	Computer Science	"- I was put into Hiring Committee twice, since the first they required that I do an additional technical  interview.
- I received an Open Offer from the Google Hiring Committee (before Host Matching)."		1550	Per week	3000	0	No Stock Offered		"$116,600 "	"$9,717 "	"$116,600 "	11/30/2016 11:58
FinTech	Software Engineering Intern	Intern	New York	Public	6933.333333	0	83200	0	5100		No	No	14	Male	Bachelors	Sophomore	UC San Diego	Computer Science			40	Per hour		0	No Stock Offered		"$83,200 "	"$6,933 "	"$88,300 "	11/30/2016 11:58
Big 4	Software Engineering Intern	Intern	New York	Public	6666	0	79992	0	12000		No	Yes	2.5	Male	Bachelors	Sophomore	UC San Diego	Computer Science	Google Docs team		6666	Per month		0	No Stock Offered		"$79,992 "	"$6,666 "	"$91,992 "	11/30/2016 11:59
Unicorn	Software Engineer	Full Time	"New York, NY"	Series D+	9166.666667	0	110000	0	10000		Yes	Yes		Male	Bachelors	Senior	Second tier university	Computer Science			110000	Per year		2300	Number of Units		"$110,000 "	"$9,167 "	"$120,000 "	11/30/2016 11:59
Stripe	Software Engineer Intern	Intern	San Francisco	Series D+	8016.666667	0	96200	0		"Corp housing, wellness stipend, free meals"	Prefer not to disclose	Yes	3	Male	Bachelors	Junior	University of Illinois at Urbana-Champaign	Computer Science	I really like Stripe's interview process.		3700	Per bi-week (fortnight)		0	No Stock Offered		"$96,200 "	"$8,017 "	"$96,200 "	11/30/2016 11:59
Public defence	Technical associate	Full Time	"Nova Scotia, canada"	Public	4375	0	52500	0	0	"Gym, healthcare, 401k matching"	No	Yes	0	Male	Bachelors	Senior	"University, Edmonton, Alberta"	Computer Science			52500	Per year	0	0	No Stock Offered		"$52,500 "	"$4,375 "	"$52,500 "	11/30/2016 12:00
Unicorn	Software Engineer Intern	Intern	Venice	Series D+	9000	0	108000	0			No	Yes	2	Male	Bachelors	Sophomore	UC San Diego	Computer Science			9000	Per month		0	No Stock Offered		"$108,000 "	"$9,000 "	"$108,000 "	11/30/2016 12:00
Intuit	Software Engineer Co-op	Intern	Mountain View	Public	6933.333333	1500	83200	18000		"Car share + gas, Stock purchase program"	No	Yes	0.5	Male	Bachelors	Junior	Non-target US News Top 50	Computer Science	6 months		40	Per hour	1500	0	No Stock Offered		"$101,200 "	"$8,433 "	"$101,200 "	11/30/2016 12:01
Uber	Software Engineering Intern	Intern	San Francisco	Series D+	7498.4	1000	89980.8	12000			Prefer not to disclose	No	6	Male	Bachelors	Junior	University of Illinois at Urbana-Champaign	Computer Science			43.26	Per hour	1000	0	No Stock Offered		"$101,981 "	"$8,498 "	"$101,981 "	11/30/2016 12:01
Hughes networks	Software Engineer	Full Time	Gaithersburg MD	Public	5583.333333	0	67000	0	3000	basic i guess	No	Yes	1	Male	Bachelors	Senior	Purdue	CS			67000	Per year	0	0	USD	0	"$67,000 "	"$5,583 "	"$70,000 "	11/30/2016 12:01
ExxonMobil	Software Engineer	Full Time	"Houston, TX"	Public	6833.333333	0	82000	0	10000		Prefer not to disclose	Yes	4	Male	Bachelors	Super Senior	University of Florida	Computer Science			82000	Per year		0	No Stock Offered		"$82,000 "	"$6,833 "	"$92,000 "	11/30/2016 12:02
Google	Software Engineer	Full Time	HQ	Public	9583.333333	2500	115000	30000	60000	Google perks	Yes	Yes	8	Male	Bachelors						115000	Per year		120000	USD	4 years	"$145,000 "	"$12,083 "	"$205,000 "	11/30/2016 12:02
Zillow	Software Engineering Intern	Intern	Seattle	Public	7583.333333	0	91000	0		Corp housing	Prefer not to disclose	No	5	Male	Bachelors	Junior	University of Illinois at Urbana-Champaign	Computer Science			3500	Per bi-week (fortnight)		0	No Stock Offered		"$91,000 "	"$7,583 "	"$91,000 "	11/30/2016 12:03
Microsoft	Program Manager Intern	Intern	Redmond	Public	7700	1333.33	92400	15999.96	6200	Gym	Prefer not to disclose	Yes	1	Male	Bachelors	Senior	No name school (not in rankings)	CS			7700	Per month	1333.33	0	No Stock Offered		"$108,400 "	"$9,033 "	"$114,600 "	11/30/2016 12:04
Microsoft		Full Time	Seattle	Public	8916.666667	2500	107000	30000	40000		Yes	No		Male	Bachelors						107000	Per year		120000	USD		"$137,000 "	"$11,417 "	"$177,000 "	11/30/2016 12:04
Amazon	Software Engineer	Full Time	Seattle	Public	9166.666667	0	110000	0	28000		Yes	Yes	14	Male	Bachelors	Graduate	University of Waterloo	Computer Science			110000	Per year		85	Number of Units	"4 years, 10, 10, 40, 40"	"$110,000 "	"$9,167 "	"$138,000 "	11/30/2016 12:04
Apple	EPM Intern	Intern	Cupertino	Public	6586.666667	1000	79040	12000			No	Still considering	8	Female	Bachelors	Junior	CMU	Engineering			38	Per hour	1000	0	No Stock Offered		"$91,040 "	"$7,587 "	"$91,040 "	11/30/2016 12:04
